标题,视频简介,分类,bv号,av号,播放量,弹幕数,最高全站日排行,点赞,硬币,收藏,分享,up主,标签,时长,日期
艺术行业入门指南4||艺术类找资料的数据库你都知道吗？,本期介绍了几个重要的艺术类网站和数据库 ：IFAR（免费）和Benezit：用于搜索艺术家相关资料（学术方面）。Worldcat（免费）：用于搜索全球书籍、图录馆藏。Artnet：用于搜索拍卖历史。AskArt：了解艺术家市场价格变化趋势。Artprice：有全球艺术价格和市场大数据（年度报告免费）。个顶个的好用。懒得写文字了，使用方法见视频。欢迎到“Jura小雯”公众号了解免费数据库，还可以到同名微博去碎碎念。,演讲? 公开课,BV1y7411Q7se,100000166,209,0,0,19,10,19,3,jura小雯,#艺术市场##艺术管理##公开课#,10:05,2020-03-28
【来自星星的事20200326之逃跑吧好兄弟】欢迎加入系列分享群，群聊号码：583313884,"优酷播主同意转载
来自星星的事20200326之逃跑吧好兄弟【尸落的矿坑】

本群资源可在群内“文件”中找到！百度网盘在线观看、下载地址链接如下
：https://pan.baidu.com/s/1X0uwFFLJsAcH9bPxCj9s4Q
提取码:xyns 
【尸落的矿坑】这一次来到寂静深山裡的死城探险，E珍二傻能否顺利通关呢？无头矿工疑似在宿舍飘盪，难道是想要找替身？二傻竟然在坑道内挑战矿坑禁忌？！结果真的出事了？【爱哟!讲什么鬼】张爱雅和杰士。来讲鬼故事啦～～全新单元，让你视觉与听觉双重享受！敬请",综艺,BV1y7411Q7sW,100000168,2329,35,0,64,19,12,5,玄夜清风,,46:59,2020-03-28
建议改成：欧 皇,-,单机游戏,BV1y7411Q7st,100000172,11,0,0,4,4,2,0,PS26游戏姬,#抽卡#,01:28,2020-03-28
【BV时代考古】带你看看那些神级av号（av靓号）,"【BV时代考古】带你看看那些av靓号
这两天看到考古那些av靓号的人变多了，于是我决定做个视频总结一下，希望大家喜欢。
喜欢搜av靓号的朋友们可以过来了（手动滑稽）",野生技术协会,BV1y7411Q7sx,100000174,69,1,0,10,8,4,1,祥龙呈瑞,#考古##涨姿势##经验分享#,11:16,2020-03-28
晒日头,-,日常,BV1y7411Q7sj,100000183,10,0,0,2,2,0,1,鼻涕佬,#延时摄影#,00:46,2020-03-28
Daily Vlog #5 一起去大草原上吹泡泡｜晒太阳,久违的出门晒太阳，超开心！,日常,BV1y7411Q7sT,100000184,13,0,0,2,2,1,0,蛋清bb,#VLOG# #生活# #记录#,02:54,2020-03-28
沙雕图与表情包第四期,-,搞笑,BV1y7411Q7sM,100000191,19387,95,0,958,41,124,35,皇者月,#全能打卡挑战##万恶之源##自制#,03:12,2020-03-28
【指绘过程】整容游戏（什）,"是画世界80粉福第一张是mafu(?′ω`?)
画崩了致歉.._:(′_`」 ∠):_ ...",绘画,BV1y7411Q7pX,100000192,62,0,0,12,12,4,1,青争-过氧化氢堆,#绘画##指绘##绘画过程#mafu好难.._:(′_`」 ∠):_ ...,04:15,2020-03-28
中转站 难度8,"银灰思路
反机动需求先锋练度
双t要求上面是奶盾，这里用了塞雷娅2技能来给银灰充电
双法术输出，质量高的放上面
煌用来堵门，没有的话月见夜也是极好的（狗头）
ps：换了电脑录试试",手机游戏,BV1y7411Q7pR,100000198,26,0,0,1,0,0,0,犬之破殇,#手机游戏##明日方舟##危机合约#,03:04,2020-03-28
关于蒙发声_20170803_超清,其他录制组,日常,BV1y7411Q7p9,100000199,7,0,0,0,0,0,0,Bili_仔种李浩宇,,07:15:27,2020-03-28
